name, currStatus, capital, 证券机构, 会计事务所, 律师事务所, 资产评估机构
苏州纳微科技股份有限公司, 2, 3.65, 中信证券股份有限公司, 容诚会计师事务所（特殊普通合伙）, 北京市中伦律师事务所, 厦门市大学资产评估土地房地产估价有限责任公司
青岛中加特电气股份有限公司, 8, 25.021, 招商证券股份有限公司, 天健会计师事务所（特殊普通合伙）, 北京市中伦律师事务所, 中和资产评估有限公司
浙江齐治科技股份有限公司, 2, 4.05, 招商证券股份有限公司, 立信会计师事务所（特殊普通合伙）, 浙江天册律师事务所, 银信资产评估有限公司
杭州品茗安控信息技术股份有限公司, 4, 5.91, 长江证券承销保荐有限公司, 天职国际会计师事务所（特殊普通合伙）, 国浩律师（北京）事务所, 中瑞世联资产评估集团有限公司
西安康拓医疗技术股份有限公司, 2, 5.2348, 华泰联合证券有限责任公司, 中审众环会计师事务所（特殊普通合伙）, 国浩律师（西安）事务所, 中和资产评估有限公司
北京信安世纪科技股份有限公司, 2, 6.8822, 西部证券股份有限公司, 容诚会计师事务所（特殊普通合伙）, 北京市通商律师事务所, 北京北方亚事资产评估事务所（特殊普通合伙）, 中水致远资产评估有限公司
山西锦波生物医药股份有限公司, 2, 9.0316, 华金证券股份有限公司, 天健会计师事务所（特殊普通合伙）, 北京市金杜律师事务所, 北京天圆开资产评估有限公司
福立旺精密机电（中国）股份有限公司, 5, 5.5, 东吴证券股份有限公司, 中汇会计师事务所（特殊普通合伙）, 国浩律师（苏州）事务所, 银信资产评估有限公司
深圳市三旺通信股份有限公司, 5, 4.491, 中信建投证券股份有限公司, 天职国际会计师事务所（特殊普通合伙）, 北京德恒律师事务所, 沃克森（北京）国际资产评估有限公司
上海派能能源科技股份有限公司, 5, 20, 中信建投证券股份有限公司, 天健会计师事务所（特殊普通合伙）, 上海市锦天城律师事务所, 万隆（上海）资产评估有限公司, 上海东洲资产评估有限公司
苏州伟创电气科技股份有限公司IPO, 5, 3.631, 国泰君安证券股份有限公司, 大信会计师事务所（特殊普通合伙）, 北京市康达律师事务所, 国众联资产评估土地房地产估价有限公司
四川汇宇制药股份有限公司, 1, 19.0732, 中信建投证券股份有限公司, 天健会计师事务所（特殊普通合伙）, 上海东方华银律师事务所, 开元资产评估有限公司
中国铁建重工集团股份有限公司, 2, 77.87, 中国国际金融股份有限公司, 德勤华永会计师事务所（特殊普通合伙）, 北京市君合律师事务所, 中水致远资产评估有限公司
苏州康代智能科技股份有限公司, 2, 2.7, 国泰君安证券股份有限公司, 毕马威华振会计师事务所（特殊普通合伙）, 上海市锦天城律师事务所, 江苏中企华中天资产评估有限公司
杭州凯尔达机器人科技股份有限公司, 1, 3.1703, 申万宏源证券承销保荐有限责任公司, 天健会计师事务所（特殊普通合伙）, 北京市中伦律师事务所, 北京中同华资产评估有限公司, 上海申威资产评估有限公司
西安凯立新材料股份有限公司, 3, 6.5, 中信建投证券股份有限公司, 信永中和会计师事务所（特殊普通合伙）, 国浩律师（西安）事务所, 北京国友大正资产评估有限公司
江苏迈信林航空科技股份有限公司, 2, 3.555, 海通证券股份有限公司, 立信会计师事务所（特殊普通合伙）, 上海市锦天城律师事务所, 银信资产评估有限公司
成都圣诺生物科技股份有限公司, 2, 3.49, 民生证券股份有限公司, 天健会计师事务所（特殊普通合伙）, 北京海润天睿律师事务所, 中和资产评估有限公司
云知声智能科技股份有限公司, 2, 9.1163, 中国国际金融股份有限公司, 立信会计师事务所（特殊普通合伙）, 北京国枫律师事务所, 上海立信资产评估有限公司
森泰英格（成都）数控刀具股份有限公司, 2, 3.2, 东莞证券股份有限公司, 大信会计师事务所（特殊普通合伙）, 北京市盈科律师事务所, 北京国融兴华资产评估有限责任公司
江西悦安新材料股份有限公司, 2, 2.7797, 东兴证券股份有限公司, 大华会计师事务所（特殊普通合伙）, 上海市锦天城律师事务所
宁波天益医疗器械股份有限公司, 5, 5.1, 国泰君安证券股份有限公司, 立信会计师事务所（特殊普通合伙）, 上海市锦天城律师事务所, 银信资产评估有限公司
紫泉能源技术股份有限公司, 2, 3.881, 安信证券股份有限公司, 中天运会计师事务所（特殊普通合伙）, 江苏泰和律师事务所, 北京中天和资产评估有限公司
浙江卓锦环保科技股份有限公司, 2, 3.2, 海通证券股份有限公司, 天健会计师事务所（特殊普通合伙）, 浙江天册律师事务所, 坤元资产评估有限公司
江苏联测机电科技股份有限公司, 2, 5.8204, 长江证券承销保荐有限公司, 江苏公证天业会计师事务所（特殊普通合伙）, 上海市通力律师事务所, 江苏中企华中天资产评估有限公司
上海奥普生物医药股份有限公司, 2, 2.6253, 华泰联合证券有限责任公司, 立信会计师事务所（特殊普通合伙）, 北京市竞天公诚律师事务所, 上海财瑞资产评估有限公司
苏州华之杰电讯股份有限公司, 2, 4.8609, 国泰君安证券股份有限公司, 江苏公证天业会计师事务所（特殊普通合伙）, 北京市天元律师事务所, 江苏中企华中天资产评估有限公司
深圳市核达中远通电源技术股份有限公司, 2, 2.2974, 长江证券承销保荐有限公司, 立信会计师事务所（特殊普通合伙）, 北京市金杜律师事务所, 北京中企华资产评估有限责任公司
唐山百川智能机器股份有限公司, 2, 14.49, 中信证券股份有限公司, 致同会计师事务所（特殊普通合伙）, 北京市中伦律师事务所, 中水致远资产评估有限公司
南京茂莱光学科技股份有限公司科创板IPO, 2, 3.0001, 中国国际金融股份有限公司, 中天运会计师事务所（特殊普通合伙）, 上海市锦天城律师事务所, 北京天健兴业资产评估有限公司
美埃（中国）环境科技股份有限公司, 2, 7.1354, 长江证券承销保荐有限公司, 安永华明会计师事务所（特殊普通合伙）, 上海市锦天城律师事务所, 上海东洲资产评估有限公司
上海康鹏科技股份有限公司, 7, 7, 华泰联合证券有限责任公司, 毕马威华振会计师事务所（特殊普通合伙）, 上海市锦天城律师事务所, 北京中同华资产评估有限公司
江苏微导纳米科技股份有限公司, 2, 5, 中信证券股份有限公司, 天职国际会计师事务所（特殊普通合伙）, 北京德恒律师事务所, 沃克森（北京）国际资产评估有限公司
广州市溢信科技股份有限公司, 8, 4.4691, 招商证券股份有限公司, 天健会计师事务所（特殊普通合伙）, 北京市中伦律师事务所, 广东联信资产评估土地房地产估价有限公司
兰剑智能科技股份有限公司, 5, 3.8186, 中泰证券股份有限公司, 致同会计师事务所（特殊普通合伙）, 上海市锦天城律师事务所, 北京天健兴业资产评估有限公司
河南翔宇医疗设备股份有限公司, 3, 7.08, 海通证券股份有限公司, 立信会计师事务所（特殊普通合伙）, 上海市通力律师事务所, 银信资产评估有限公司
上海泽生科技开发股份有限公司, 2, 15, 华金证券股份有限公司, 中天运会计师事务所（特殊普通合伙）, 北京市中伦律师事务所, 上海众华资产评估有限公司
东芯半导体股份有限公司, 2, 7.5, 海通证券股份有限公司, 立信会计师事务所（特殊普通合伙）, 北京德恒律师事务所, 中水致远资产评估有限公司
杭州美迪凯光电科技股份有限公司, 3, 7.6427, 中信证券股份有限公司, 天健会计师事务所（特殊普通合伙）, 国浩律师（上海）事务所, 坤元资产评估有限公司
深圳市创鑫激光股份有限公司, 5, 7.6363, 海通证券股份有限公司, 立信会计师事务所（特殊普通合伙）, 北京市中伦律师事务所, 广东中广信资产评估有限公司
上海唯赛勃环保科技股份有限公司, 2, 5.5303, 国泰君安证券股份有限公司, 致同会计师事务所（特殊普通合伙）, 国浩律师（上海）事务所, 银信资产评估有限公司
广东利元亨智能装备股份有限公司, 2, 7.9513, 民生证券股份有限公司, 安永华明会计师事务所（特殊普通合伙）, 北京国枫律师事务所, 广东联信资产评估土地房地产估价有限公司
蚂蚁科技集团股份有限公司, 5, 480, 中国国际金融股份有限公司, 中信建投证券股份有限公司, 安永华明会计师事务所（特殊普通合伙）, 上海市方达律师事务所, 坤元资产评估有限公司
海南金盘智能科技股份有限公司, 3, 5.4099, 浙商证券股份有限公司, 中汇会计师事务所（特殊普通合伙）, 北京市金杜律师事务所, 银信资产评估有限公司
苏州晶云药物科技股份有限公司, 2, 6, 华泰联合证券有限责任公司, 立信会计师事务所（特殊普通合伙）, 北京市天元律师事务所, 上海立信资产评估有限公司
广州中望龙腾软件股份有限公司, 3, 6.0058, 华泰联合证券有限责任公司, 致同会计师事务所（特殊普通合伙）, 北京市中伦律师事务所, 广东中广信资产评估有限公司
杭州奥泰生物技术股份有限公司, 3, 3.9838, 申万宏源证券承销保荐有限责任公司, 致同会计师事务所（特殊普通合伙）, 北京市通商律师事务所, 天源资产评估有限公司
杭州西力智能科技股份有限公司, 3, 3.9719, 国金证券股份有限公司, 天健会计师事务所（特殊普通合伙）, 国浩律师（上海）事务所, 坤元资产评估有限公司
盛美半导体设备（上海）股份有限公司, 3, 18, 海通证券股份有限公司, 立信会计师事务所（特殊普通合伙）, 北京市金杜律师事务所, 中联资产评估集团有限公司
河南秋乐种业科技股份有限公司, 8, 4.0779, 第一创业证券承销保荐有限责任公司, 大信会计师事务所（特殊普通合伙）, 上海市锦天城律师事务所, 北京亚太联华资产评估有限公司
深圳市迅捷兴科技股份有限公司, 2, 4.5, 民生证券股份有限公司, 天职国际会计师事务所（特殊普通合伙）, 广东信达律师事务所, 沃克森（北京）国际资产评估有限公司
生益电子股份有限公司, 3, 39.609, 东莞证券股份有限公司, 福建华兴会计师事务所（特殊普通合伙）, 北京市康达律师事务所, 广东联信资产评估土地房地产估价有限公司
株洲华锐精密工具股份有限公司, 3, 5.9986, 招商证券股份有限公司, 天职国际会计师事务所（特殊普通合伙）, 湖南启元律师事务所, 开元资产评估有限公司
安徽壹石通材料科技股份有限公司首次公开发行股票并在科创板上市, 3, 3.6259, 中国国际金融股份有限公司, 天职国际会计师事务所（特殊普通合伙）, 北京德恒律师事务所, 沃克森（北京）国际资产评估有限公司
京东数字科技控股股份有限公司, 2, 200, 国泰君安证券股份有限公司, 五矿证券有限公司, 德勤华永会计师事务所（特殊普通合伙）, 上海市通力律师事务所, 中联资产评估集团有限公司
北京天科合达半导体股份有限公司, 8, 5, 国开证券股份有限公司, 立信会计师事务所（特殊普通合伙）, 国浩律师（杭州）事务所, 北京华亚正信资产评估有限公司, 北京中天衡平国际资产评估有限公司
罗普特科技集团股份有限公司, 3, 6.7384, 国金证券股份有限公司, 容诚会计师事务所（特殊普通合伙）, 北京国枫律师事务所, 中水致远资产评估有限公司
上海步科自动化股份有限公司, 5, 2.7086, 海通证券股份有限公司, 天健会计师事务所（特殊普通合伙）, 国浩律师（深圳）事务所, 广东中广信资产评估有限公司
浙江中控技术股份有限公司, 5, 16.0661, 申万宏源证券承销保荐有限责任公司, 天健会计师事务所（特殊普通合伙）, 北京市金杜律师事务所, 坤元资产评估有限公司
江西金达莱环保股份有限公司, 5, 10.0876, 申港证券股份有限公司, 中审众环会计师事务所（特殊普通合伙）, 北京国枫律师事务所, 中铭国际资产评估（北京）有限责任公司
武汉中科通达高新技术股份有限公司, 2, 3.8, 海通证券股份有限公司, 立信会计师事务所（特殊普通合伙）, 湖南金州律师事务所, 湖北众联资产评估有限公司
广东利扬芯片测试股份有限公司, 5, 5.6285, 东莞证券股份有限公司, 天健会计师事务所（特殊普通合伙）, 北京德恒律师事务所, 坤元资产评估有限公司
上海谊众药业股份有限公司, 2, 10.3328, 国金证券股份有限公司, 容诚会计师事务所（特殊普通合伙）, 上海市锦天城律师事务所, 江苏华信资产评估有限公司
青岛海泰新光科技股份有限公司, 3, 8.6237, 国泰君安证券股份有限公司, 安永华明会计师事务所（特殊普通合伙）, 北京观韬中茂律师事务所, 北京中同华资产评估有限公司
湖南长远锂科股份有限公司, 3, 27.179, 中信证券股份有限公司, 五矿证券有限公司, 天职国际会计师事务所（特殊普通合伙）, 北京市嘉源律师事务所, 北京中企华资产评估有限责任公司
山东威高骨科材料股份有限公司, 2, 18.8067, 华泰联合证券有限责任公司, 大华会计师事务所（特殊普通合伙）, 北京市中伦律师事务所, 山东正源和信资产评估有限公司
苏州明志科技股份有限公司, 2, 5.0759, 东吴证券股份有限公司, 江苏公证天业会计师事务所（特殊普通合伙）, 远闻(上海)律师事务所, 江苏中企华中天资产评估有限公司
上海仁会生物制药股份有限公司, 4, 30.0522, 国泰君安证券股份有限公司, 天健会计师事务所（特殊普通合伙）, 国浩律师（上海）事务所, 坤元资产评估有限公司
上海华依科技集团股份有限公司, 2, 3.9169, 中信证券股份有限公司, 上会会计师事务所（特殊普通合伙）, 上海泽昌律师事务所, 万隆（上海）资产评估有限公司
无锡市尚沃医疗电子股份有限公司, 3, 3.2762, 中信证券股份有限公司, 中天运会计师事务所（特殊普通合伙）, 北京德恒律师事务所, 江苏金证通资产评估房地产估价有限公司
长威信息科技发展股份有限公司, 2, 2.8088, 五矿证券有限公司, 众华会计师事务所（特殊普通合伙）, 福建天衡联合律师事务所, 福建中兴资产评估房地产土地估价有限责任公司
大连豪森设备制造股份有限公司, 5, 8, 海通证券股份有限公司, 立信会计师事务所（特殊普通合伙）, 上海市锦天城律师事务所, 辽宁众华资产评估有限公司
深圳市万佳安物联科技股份有限公司, 8, 7.6073, 东莞证券股份有限公司, 江苏公证天业会计师事务所（特殊普通合伙）, 北京市康达律师事务所, 国众联资产评估土地房地产估价有限公司
锐芯微电子股份有限公司, 7, 13.4653, 中信建投证券股份有限公司, 立信会计师事务所（特殊普通合伙）, 上海市锦天城律师事务所, 北京国融兴华资产评估有限责任公司
北京盛诺基医药科技股份有限公司, 7, 20.2377, 华西证券股份有限公司, 安永华明会计师事务所（特殊普通合伙）, 北京市君合律师事务所, 国众联资产评估土地房地产估价有限公司
泰州亿腾景昂药业股份有限公司, 7, 13.1565, 国泰君安证券股份有限公司, 立信会计师事务所（特殊普通合伙）, 北京市君合律师事务所, 上海立信资产评估有限公司
精进电动科技股份有限公司, 7, 20, 华泰联合证券有限责任公司, 立信会计师事务所（特殊普通合伙）, 北京市竞天公诚律师事务所, 银信资产评估有限公司
北京芯愿景软件技术股份有限公司, 7, 4.6533, 民生证券股份有限公司, 天职国际会计师事务所（特殊普通合伙）, 北京国枫律师事务所, 沃克森（北京）国际资产评估有限公司
北京华卓精科科技股份有限公司, 7, 10.35, 东兴证券股份有限公司, 大华会计师事务所（特殊普通合伙）, 北京市邦盛律师事务所, 北京中和谊资产评估有限公司
国网智能科技股份有限公司, 8, 10.3417, 中信证券股份有限公司, 致同会计师事务所（特殊普通合伙）, 北京市金杜律师事务所, 北京中天和资产评估有限公司
广东奥普特科技股份有限公司, 4, 14.2281, 国信证券股份有限公司, 天职国际会计师事务所（特殊普通合伙）, 北京国枫律师事务所, 沃克森（北京）国际资产评估有限公司
上海之江生物科技股份有限公司, 4, 13.5589, 海通证券股份有限公司, 中汇会计师事务所（特殊普通合伙）, 上海市锦天城律师事务所, 北京中企华资产评估有限责任公司
深圳惠泰医疗器械股份有限公司, 4, 8.4048, 中信证券股份有限公司, 立信会计师事务所（特殊普通合伙）, 北京市嘉源律师事务所, 上海立信资产评估有限公司
天士力生物医药股份有限公司, 2, 24.2566, 中信证券股份有限公司, 天健会计师事务所（特殊普通合伙）, 北京市竞天公诚律师事务所, 银信资产评估有限公司
吉利汽车控股有限公司, 3, 200, 中国国际金融股份有限公司, 华泰联合证券有限责任公司, 致同会计师事务所（特殊普通合伙）, 北京市金杜律师事务所
云南北方奥雷德光电科技股份有限公司, 2, 5.05, 国泰君安证券股份有限公司, 信永中和会计师事务所（特殊普通合伙）, 北京市嘉源律师事务所, 北京中企华资产评估有限责任公司
会通新材料股份有限公司, 5, 17, 中信证券股份有限公司, 天健会计师事务所（特殊普通合伙）, 北京市中伦律师事务所, 坤元资产评估有限公司
上海博科资讯股份有限公司, 8, 6.3674, 申万宏源证券承销保荐有限责任公司, 毕马威华振会计师事务所（特殊普通合伙）, 上海市通力律师事务所, 上海申威资产评估有限公司, 上海众华资产评估有限公司
前沿生物药业（南京）股份有限公司, 5, 20.0085, 瑞银证券有限责任公司, 毕马威华振会计师事务所（特殊普通合伙）, 国浩律师（南京）事务所
江苏浩欧博生物医药股份有限公司, 4, 6.0882, 华泰联合证券有限责任公司, 立信会计师事务所（特殊普通合伙）, 国浩律师（上海）事务所, 北京国融兴华资产评估有限责任公司
四方光电股份有限公司, 4, 5.7, 海通证券股份有限公司, 天职国际会计师事务所（特殊普通合伙）, 国浩律师（杭州）事务所, 沃克森（北京）国际资产评估有限公司
深圳市亚辉龙生物科技股份有限公司, 4, 7.3311, 中信证券股份有限公司, 大华会计师事务所（特殊普通合伙）, 北京市君合律师事务所, 中水致远资产评估有限公司
九号有限公司, 5, 20.7708, 国泰君安证券股份有限公司, 德勤华永会计师事务所（特殊普通合伙）, 北京市中伦律师事务所
山东泰丰智能控制股份有限公司, 8, 3.36, 长城国瑞证券有限公司, 大信会计师事务所（特殊普通合伙）, 北京市康达律师事务所, 坤元资产评估有限公司
正元地理信息集团股份有限公司, 2, 5.9854, 中银国际证券股份有限公司, 天健会计师事务所（特殊普通合伙）, 北京海润天睿律师事务所, 中京民信(北京)资产评估有限公司
上海泰坦科技股份有限公司, 5, 5.35, 中信证券股份有限公司, 大信会计师事务所（特殊普通合伙）, 北京德恒律师事务所, 北京卓信大华资产评估有限公司
深圳市科思科技股份有限公司, 5, 13.0682, 中天国富证券有限公司, 立信会计师事务所（特殊普通合伙）, 江苏世纪同仁律师事务所, 中水致远资产评估有限公司
传神语联网网络科技股份有限公司, 8, 3.6338, 申港证券股份有限公司, 北京中证天通会计师事务所（特殊普通合伙）, 北京市万商天勤律师事务所, 北京国融兴华资产评估有限责任公司
上海合晶硅材料股份有限公司, 2, 10, 中国国际金融股份有限公司, 立信会计师事务所（特殊普通合伙）, 北京市金杜律师事务所, 北京北方亚事资产评估事务所（特殊普通合伙）
上海宏力达信息技术股份有限公司, 5, 12, 华泰联合证券有限责任公司, 大信会计师事务所（特殊普通合伙）, 国浩律师（上海）事务所, 万隆(上海)资产评估有限公司
上海阿拉丁生化科技股份有限公司, 5, 4.3343, 西部证券股份有限公司, 大华会计师事务所（特殊普通合伙）, 上海市锦天城律师事务所, 北京华亚正信资产评估有限公司, 银信资产评估有限公司
东来涂料技术（上海）股份有限公司, 5, 4.3125, 东方证券承销保荐有限公司, 立信会计师事务所（特殊普通合伙）, 北京市大成律师事务所, 银信资产评估有限公司
广东德冠薄膜新材料股份有限公司, 2, 3.8698, 招商证券股份有限公司, 华兴会计师事务所（特殊普通合伙）, 北京市通商律师事务所, 广东联信资产评估土地房地产估价有限公司
天臣国际医疗科技股份有限公司, 5, 3.5983, 安信证券股份有限公司, 中天运会计师事务所（特殊普通合伙）, 国浩律师（上海）事务所, 北京中天和资产评估有限公司
江苏泛亚微透科技股份有限公司, 5, 3, 东方证券承销保荐有限公司, 天健会计师事务所（特殊普通合伙）, 广东信达律师事务所, 坤元资产评估有限公司, 江苏中企华中天资产评估有限公司
苏州世华新材料科技股份有限公司, 5, 8.0365, 华泰联合证券有限责任公司, 江苏公证天业会计师事务所（特殊普通合伙）, 北京国枫律师事务所, 江苏中企华中天资产评估有限公司
上纬新材料科技股份有限公司, 5, 2.155, 申万宏源证券承销保荐有限责任公司, 毕马威华振会计师事务所（特殊普通合伙）, 国浩律师（上海）事务所, 万隆(上海)资产评估有限公司
精英数智科技股份有限公司, 8, 3.3731, 中德证券有限责任公司, 致同会计师事务所（特殊普通合伙）, 北京国枫律师事务所, 中水致远资产评估有限公司
桂林智神信息技术股份有限公司, 8, 7.7169, 安信证券股份有限公司, 天健会计师事务所（特殊普通合伙）, 广东华商律师事务所, 中联国际评估咨询有限公司
慧翰微电子股份有限公司, 4, 5.31, 兴业证券股份有限公司, 容诚会计师事务所（特殊普通合伙）, 上海市瑛明律师事务所
路德环境科技股份有限公司, 5, 3.5, 安信证券股份有限公司, 大信会计师事务所（特殊普通合伙）, 北京德恒律师事务所, 中京民信(北京)资产评估有限公司
武汉科前生物股份有限公司, 5, 17.4703, 招商证券股份有限公司, 致同会计师事务所（特殊普通合伙）, 北京市嘉源律师事务所, 中京民信(北京)资产评估有限公司
浙江蓝特光学股份有限公司, 5, 7.0733, 华泰联合证券有限责任公司, 天健会计师事务所（特殊普通合伙）, 北京国枫律师事务所, 坤元资产评估有限公司
芯海科技（深圳）股份有限公司, 5, 5.4515, 中信证券股份有限公司, 天健会计师事务所（特殊普通合伙）, 广东华商律师事务所
赛赫智能设备（上海）股份有限公司, 8, 3.5192, 国元证券股份有限公司, 容诚会计师事务所（特殊普通合伙）, 北京市君合律师事务所, 上海众华资产评估有限公司
上海奕瑞光电子科技股份有限公司, 5, 7.7, 海通证券股份有限公司, 立信会计师事务所（特殊普通合伙）, 上海市方达律师事务所, 银信资产评估有限公司
思瑞浦微电子科技（苏州）股份有限公司, 5, 8.5, 海通证券股份有限公司, 普华永道中天会计师事务所（特殊普通合伙）, 国浩律师（上海）事务所, 银信资产评估有限公司
福建福昕软件开发股份有限公司, 5, 4.0736, 兴业证券股份有限公司, 福建华兴会计师事务所（特殊普通合伙）, 北京市竞天公诚律师事务所, 北京中企华资产评估有限责任公司
合肥科威尔电源系统股份有限公司, 5, 2.76, 国元证券股份有限公司, 容诚会计师事务所（特殊普通合伙）, 安徽天禾律师事务所, 中水致远资产评估有限公司
慧捷（上海）科技股份有限公司, 8, 3.0444, 安信证券股份有限公司, 容诚会计师事务所（特殊普通合伙）, 北京德恒律师事务所, 万隆(上海)资产评估有限公司
西安瑞联新材料股份有限公司, 5, 10.5152, 海通证券股份有限公司, 立信会计师事务所（特殊普通合伙）, 上海市瑛明律师事务所, 中和资产评估有限公司
